contract_id,clause_text,clause_type,answer
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,"Notwithstanding Customer's obligations pursuant to clauses 3.1 and 3.4, the first [Redacted - Commercially Sensitive] of each Forecast shall constitute a binding commitment of Customer to purchase the quantities of Products set forth in the relevant Forecast for such [Redacted - Commercially Sensitive] period.",Minimum Commitment,Yes
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.PDF,"The minimum values of quality that the Crude delivered by the Senders must have to be accepted for Transportation in the Pipeline are:

   For specific systems the Transporter defines minimum parameters for quality which are listed in Annex 4 Minimum Quality Specifications by  System. The Sender shall notify the Transporter as soon as possible, if it is found that: (i) its deliveries during a month of Operation at a Point of  Entrance will be less than 95% of the Scheduled Capacity or (ii) its withdrawals at any Point of Exit shall be less than 95% of the Scheduled  Capacity. MINIMUM SPECIFICATIONS OF QUALITY PER SYSTEM The Transporter reserves the right to receive or reject a Hydrocarbon that fails to meet the minimum specified values; in case of reception,  the Sender shall Pay the Transporter any costs incurred in the analysis and eventual treatment of this Hydrocarbon to place it within the required  specifications or to implement the scheme required for its Transportation. The minimum characteristics of the Hydrocarbon which must be included in the certificate are: Viscosity cST and SSU at 86°F, 100°F and  140°F, gravity API at 60°F, sulfur content, salt content, BSW, Acidity and Point of fluidity. The Transporter reserves the right to reject any Transportation request in addition to the reasons mentioned during the nomination process  and the Transportation schedule, those coming from a Sender who has breached a Transportation contract, this Manual or any applicable  regulations, including but without being limited to:     11.1.1 Delivery of Hydrocarbons without the minimum quality specifications indicated in this Manual.     11.1.2 Failing to deliver sufficient Hydrocarbons to fill in the line in the proportion that corresponds, Sender with Contracted Capacity in Firm:     22.2.1 If by any reason the delivery is less than 95% or more than 105% of their Scheduled Capacity, the Sender shall Pay:     22.2.1.1.1 The Transportation fee for volumes delivered when they are higher than the Contracted Capacity in firm. When they are equal or less the  Sender shall Pay Transportation fee on the Contracted Capacity in firm.     22.2.1.1.2 The Transporter may decide to charge the Sender a sanction equivalent to 5% of the Transportation Fee of the Scheduled Capacity.



   22.2.1.2 If by any reason, delivery is between 95% and up to 105% of its scheduled Capacity, the Transporter shall charge the Transportation fee  for volumes delivered when these are above the Contracted Capacity in firm. When they are equal or less the Sender shall pay the Transportation  fee on the Contracted Capacity in firm. In this case there shall not be any sanction, without prejudice of the application of other types of sanctions.     22.2.2 Sender without Contracted Capacity in firm:     22.2.2.1 If by any reason, the delivery is less than 95% or more than 105% of its scheduled Capacity, the Sender shall Pay:     22.2.2.1.1 The Transportation fee for volumes delivered     22.2.2.1.1 The Transporter may decide to charge the Sender a sanction equivalent to 5% of the Transportation Fee of the Scheduled Capacity.     22.2.2.2 If by any reason, delivery is between 95% and up to 105% of its scheduled Capacity, the Transporter shall charge the Transportation fee  for volumes delivered. In this case there shall not be any sanction, without prejudice of the application of other types of sanctions. The basket of Crude Oil to be used shall always include a minimum of ten (10) Crude Oils. The Transporter and the Sender may agree on the delivery of Hydrocarbons with lower characteristics than the minimum required, in which  case the Sender shall pay all costs and expenses to improve the Hydrocarbon and to bring it to acceptable Transportation specifications for the  Transporter.",Minimum Commitment,Yes
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,"Quantity of capacity to be released: Max 13,370 Dfli/Day,                                Min 13,370 DthDay. Minimum transportation rate acceptable to Releasing Shipper (if          none, write ""none""; includes commodity component):

         Tariff Rate

         (ii) Bid Requirements:

              (a) _X_ Reservation, __Volumetric

                  or ___ Volumetric with ___ volume commitment

              (b) __ Dollar/Cents or __ Percentage",Minimum Commitment,Yes
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,"Shipper guarantees that during each Contract Year, Shipper will meet its Quarterly Volume Commitment or, in the event it fails to do so, shall remit to MPL the Quarterly Deficiency Payment pursuant to Section 3.5. Subject to the provisions of Section 5 of this Agreement, if the volume of each Product shipped by Shipper on the Pipeline during the Quarter is less than the applicable Quarterly Volume Commitment for that Product then, in addition to paying any amounts incurred by Shipper pursuant to Section 3.4 with respect to Shipper Deliveries for such Quarter, Shipper shall also pay MPL a deficiency payment (the ""Quarterly Deficiency Payment""); equal to the product of:

(a) the difference between the applicable Quarterly Volume Commitment for that Product for such Quarter and the volume of Shipper Deliveries of that Product on the Pipeline for such Quarter (the ""Deficiency Volume""); and

(b) the applicable Tariff Rate for that Product for such Quarter. If Shipper makes a Pre-Service Increase Request, MPL shall notify Shipper of its new Quarterly Volume Commitment within thirty (30) days following receipt of Shipper's Pre-Service Increase Request, and Exhibit C shall be deemed revised to reflect Shipper's new volume commitment, which shall equal the sum of its original Capacity Request Form volume commitment and its Pre-Service Increase Request or its allocated portion thereof pursuant to this Section 3.9.",Minimum Commitment,Yes
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,"Party A must ensure the waste heat power generation system of CDQ working hours no less than 7,200 hours/year. From the starting day of the project, Party B must ensure that the coking system works properly and working hours of the CDQ system must be no less than 8,000 hours/year.",Minimum Commitment,Yes
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF","Subject to the terms of this Agreement (including the remainder of this Section 7.2.2 (Contract Year Purchase Targets and Commitments)), for each Contract Year, Ginkgo shall [***] make Development Purchases and Production Purchases from BLI in the amounts set forth in the<omitted>""Development Purchase Commitment"" and ""Production Purchase Target"" columns respectively in Table 7.2.2 with respect to such Contract Year: Subject to Ginkgo's obligation to satisfy the Minimum Cumulative Purchase Commitment for a Contract Year, with respect to the second [***] Contract Years), Ginkgo's Production Purchase Targets for the [***] Contract Years as set forth in Table 7.2.2 are [***], and the Parties expressly acknowledge and agree that [***]. Minimum Cumulative Purchase Commitment Contract Year 1 $ [***] $ [***] $ [***] $ [***] Contract Year 2 $ [***] $ [***] $ [***] $ [***] Contract Year 3 $ [***] $ [***] $ [***] $ [***] Contract Year 4 $ [***] $ [***] $ [***] $ [***] Contract Year 5 $ [***] $ [***] $ [***] $ [***] Contract Year 6 $ [***] $ [***] $ [***] $ [***] Contract Year 7 [***] $ [***] $ [***] $ 109,000,000 Total $ [***] $ [***] $150,000,000 N/A In the event that Ginkgo has the right to terminate this Agreement under Section 13.2.1 (Material Breach) due to a material breach of BLI to perform its supply-related obligations under this Agreement (for clarity, this shall not include (a) [***] or (b) [***], Ginkgo may elect by written notice to BLI to, instead of terminating this Agreement, keep this Agreement and, without limiting any other right or remedy under Applicable Law or this Agreement, to decrease the amount of the Minimum Cumulative Purchase Commitment for the current and future Contract Years, as well as the Full Purchase Target, in each case in amounts reasonably mutually agreed upon by the Parties in good faith in accordance with this Section 13.4 (Rights in Lieu of Termination for BLI's Material Breach of Supply Obligations). Subject to this Section 6.2.2(c) (Production Purchase Commitments), unless the Parties otherwise mutually agree in writing, the Production Purchase Target for the [***] shall constitute a binding obligation on Ginkgo and, in partial satisfaction of its Production Purchase commitment for the<omitted>[***], Ginkgo shall purchase [***] ([***]) [***] within [***] ([***]) days of the Effective Date, the cost of which, for clarity, shall be offset by the upfront payment paid by Ginkgo pursuant to Section 7.1 (Upfront Payment). With respect to each Contract Year, by no later than [***], Ginkgo shall have incurred (including all credits and offsets permitted under this Agreement) at least, in the aggregate since the beginning of the Term, the Minimum Cumulative Purchase Commitment amount for such Contract Year. The Minimum Cumulative Purchase Commitments for each of Contract Years [***] are binding commitments. If BLI has Substantially Completed at least [***] ([***]) [***] Workflows within the first [***] ([***]) Contract Years, then the Minimum Cumulative Purchase Commitment as of the Contract Year (which may include a portion of a full Contract Year) that is the last Contract Year during the Term pursuant to the terms of this Agreement shall change from $109 million (as currently reflected in Table 7.2.2) to $150 million. Subject to Section 7.2.2(a) (Minimum Cumulative Purchase Commitments), unless the Parties otherwise mutually agree in writing, the Development Purchase Commitment for the [***] Contract Years shall constitute a binding obligation on Ginkgo, and, subject to Ginkgo exercising its Buy-Down Option pursuant to Section 7.3 (Buy-Down Election), the Development Purchase Commitment for the [***] Contract Years shall also constitute binding obligations on Ginkgo. During the Term and for a period of [***] ([***]) months following the Term of this Agreement, other than pursuant to Sections 13.3.2 (Effects of Termination Based Upon Ginkgo's Buy-Down Election) or 13.3.3 (Effects of Termination Based Upon an Uncured Ginkgo Breach, Insolvency or Force Majeure Event), BLI shall not, and shall cause its Affiliates not to, directly or indirectly, itself or with or through a Third Party, develop, configure, customize, license, sell, provide or otherwise give access to the Beacon Platform or any [***] to, [***] or its Affiliates for any use; provided that this restriction shall terminate as set forth in Section 13.3 (Effects of Expiration or Termination) or if Ginkgo has not satisfied its Minimum Cumulative Purchase Commitments (as such may be adjusted under this Agreement) for a full Contract Year, including [***] as permitted under Section 7.2.2(a) (Minimum Cumulative Purchase Commitments) or Section 7.2.2(b)(iii) (Development Purchase Commitments); provided that BLI will provide written notice to Ginkgo within [***] ([***]) days of the end of any Contract Year with respect to which BLI believes that Ginkgo has not satisfied its Minimum Cumulative Purchase Commitment.",Minimum Commitment,Yes
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,"PageMaster Corporation shall provide a minimum of 100,000 up to                500,000 pagers for the fulfillment of this promotion to all                Purchase Customers who prepay their annual airtime.",Minimum Commitment,Yes
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.PDF,"For clarity, (i) Company must achieve all of the applicable foregoing minimum requirements in order to avoid giving rise to Janssen's rights and remedies under this Section 3.2.3, and (ii) such rights shall be in addition to any other rights and remedies that may be available to Janssen under applicable Laws in the event of any such failure on the part of Company. At a minimum, Company shall cause its Sales Force to satisfy the Minimum Number of Details Requirement, the Minimum Reach Requirement and, if applicable, the Minimum PDE Requirement and the Minimum Top Target Requirement set forth in Exhibit B in each Detailing Period. At all times during the Term, Company shall use reasonable efforts to deploy and maintain a sales force (the ""Sales Force"") of at least [***] ([***]) Sales Representatives who satisfy the conditions described in Section 3.3.1. If the average number of Sales Representatives on the Sales Force is less than twenty-five (25) over any forty-five (45)-day period, Janssen will have the right to terminate this Agreement by giving thirty (30) days' notice. If Company fails to achieve the Minimum Number of Details Requirement, the Minimum Reach Requirement or, if applicable, the Minimum PDE Requirement or the Minimum Top Target Requirement in any Detailing Period, Janssen shall have the right to terminate this Agreement by giving thirty (30) days' notice, unless:

(a) Company complied with and performed its Detailing activities in accordance with any Remediation Plans developed by Company and approved by Janssen during such Detailing Period; or

(b) if (i) neither Party provided a Performance Failure Notice under Section 3.2.4 during such Detailing Period and (ii) Company performs additional Details in the first month after such Detailing Period such that, if such Details had been performed during such Detailing Period, they would have been sufficient to cure the failure to achieve the Minimum Number of Details Requirement, the Minimum Reach Requirement, the Minimum PDE Requirement or the Minimum Top Target Requirement, as applicable. To avoid double-counting, such additional Details will not be taken into account when determining whether Company satisfies the Minimum Number of Details Requirement, Minimum Reach Requirement or, if applicable, the Minimum PDE Requirement or the Minimum Top Target Requirement in the then-current Detailing Period.",Minimum Commitment,Yes
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,"For each month during the Term, the Company will pay CNET a                  minimum of [XXXX] in cash, plus [XXX] of CNET Sales.",Minimum Commitment,Yes
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,"Upon the third failure by King to meet the PDE Minimum during any six consecutive Agreement Quarters, Depomed shall have the right to [***] or demand that King shall cure such default in the same manner outlined in clause (i) above for the first such default. In fulfilling its obligations under this Section 4.1(b), King will perform [***], as follows: King will perform no less than an average of [***], with such reach and frequency as the JCC determines as part of the Annual Plan each year. King agrees that from and after the Promotion Commencement Date, the King Sales Force will be staffed with at least [***] full-time Sales Representatives (subject to vacancies consistent with average vacancy rate experienced by King across its total sales force) who are actively promoting the Product in accordance with the Launch Plan or Annual Plan (the ""Minimum Sales Force Level""); provided that King may meet such requirement to actively promote the Product by promoting the Product through P2 Details and P3 Details. If King does not perform, in the aggregate, two times the PDE Minimum in any two consecutive Agreement Quarters, Depomed may demand that King cure such default by (A) [***] and (B) [***], in each case, prior to the end of the next succeeding Agreement Quarter following notice from Depomed. In the event that King does not perform the PDE Minimum in any Agreement Quarter (the difference between such PDE Minimum and the number of PDEs actually conducted, the ""PDE Shortfall""), King will have until the end of the Agreement Quarter immediately following to cure its failure by providing a sufficient number of excess PDEs in the immediately following Agreement Quarter. From and after the Promotion Commencement Date, King shall perform at least [***] PDEs per calendar year, with such amount prorated over the initial and final calendar years of the Term if either such year is a partial year. If, as of the end of any period of the immediately previous four consecutive Agreement Quarters, Promotion Net Sales for such period are less than $[***], either party shall have the right to terminate this Agreement on 120 days' prior written notice to the other party, which notice may not be given before the third anniversary of the Promotion Commencement Date.",Minimum Commitment,Yes
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,"In order to keep your exclusivity, you agree to purchase a minimum of the following:   $170,000.00 of soup from us in 2015 $1,600,00.00 of soup from us in 2016 $3,200,000.00 of soup from us in 2017 $5,000,000.00 of soup from us in 2018 and shall increase 10% each year thereafter. If you do not meet the Minimum Development Quota, we may cancel your exclusive right to market and sell Unit Franchises in your Master Territory and may sell additional Master Franchises within your Master Territory, or we may begin operations of our own in your Master Territory, or we may terminate this Agreement. You shall be in default under this Agreement, and we may, at our option, terminate this Agreement and all rights granted under this Agreement, without affording you any opportunity to cure the default, effective immediately upon receipt of notice by you upon the occurrence of any of the following events:<omitted>If you fail to comply with the Minimum Development Quota. In addition to The Original Soupman business you must own and continuously operate, you must sell and have open the minimum number of The Original Soupman businesses as set forth on Attachment E hereto (the ""Minimum Development Quota"") by the dates set forth on such Attachment. You shall expend not less than $5,000 each month on such Solicitation Advertising.",Minimum Commitment,Yes
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","Milestone

  Amount               Initiation of Phase I *

  U.S.$10 Million   Initiation of Phase IIa**

  U.S.$10 Million   Initiation of Phase IIb**

  U.S.$5 Million               Initiation of Phase III

  U.S.$25 Million Subject to and consistent with the further Development principles outlined herein, each Party will offer a minimum of four (4) identified LABA compounds to this collaboration, with the intention of commercializing at least one Long-Acting β2 Adrenoceptor Agonist as a single agent and/or as a LABA/ICS Combination Product. GSK shall also use Diligent Efforts to contribute at least one ICS and/or other non-LABA compound to the collaboration for the purpose of developing a combination product and Diligent Efforts to develop an optimal inhaled formulation of Collaboration Product in a device which may be either/or a dry powder inhaler formulation and/or a metered dose inhaler formulation of the Collaboration Compound and Development activities of such may continue in parallel.",Minimum Commitment,Yes
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF","Not later than the first Business Day of […***…] during the Profiling Term and Profiling Renewal Terms, Roche will provide FMI with a rolling forecast of its estimated requirements for Sample Profiling for the following […***…], the rolling forecast for the […***…] of which shall be deemed to be a binding order for sample volume (including specifications for the number of samples to be run using each of FMI's different tests) (""Binding Orders"").",Minimum Commitment,Yes
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.PDF","To provide a minimum of seven thousand (7000) acres for the Primary Project to be identified by each individual lot, including size, and its placement in the annual rotation as per SCHEDULE A.",Minimum Commitment,Yes
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.PDF,It is the intention of the parties that no less than 50% of the Joint Venture Products should be sold overseas.,Minimum Commitment,Yes
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,"In the event  the  Company  is  unable  to sell a  minimum  of 935,000  Shares  within  the  period  herein  provided,   this  Agreement  shall terminate,  and the Company shall refund to any persons who have  subscribed for any of the Shares,  the full amount  which it may have  received  from them plus accrued  interest  as set  forth  in the  Offering  Prospectus;  and none of the parties  to this  Agreement  shall  have any  obligation  to the  other  parties hereunder,  except as set forth in this  Section 2 and in  Sections  7, 9 and 10 hereof.",Minimum Commitment,Yes
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","In the event the Holding Company is unable to sell a minimum of 17,850,000 Shares within the period herein provided, this Agreement shall terminate and the Holding Company shall refund to any persons who have subscribed for any of the Shares the full amount which it may have received from them plus accrued interest, as set forth in the Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder, except as set forth in this Section 2 and in Sections 7, 9 and 10 hereof. In the event the Offering is terminated for any reason not attributable to the action or inaction of the Agent, the Agent shall be paid the fees due to the date of such termination pursuant to subparagraphs (a) and (e) below. In the event the Holding Company fails to sell the required minimum number of the Shares by the date when such sales must be completed, in accordance with the provisions of the Plan or as required by the Massachusetts Regulations and applicable law, this Agreement shall terminate upon refund by the Holding Company to each person who has subscribed for or ordered any of the Shares the full amount which it may have received from such person, together with interest as provided in the Prospectus, and no party to this Agreement shall have any obligation to the other hereunder, except as set forth in Sections 2(a), 2(e), 7, 9 and 10 hereof.",Minimum Commitment,Yes
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,"Within thirty (30) days from the Effective Date hereof, Zanotti shall deliver to Aura a minimum total of twelve (12)  Products to be delivered to Aura's facilities McDonough, Georgia, of such type as mutually agreed by the Parties (the ""Initial Order""). In order to maintain the exclusivity granted hereunder, Zanotti  shall provide Aura with orders for a minimum of (i) one thousand (1,000) AETRU Systems during the first twenty-four (24) months of this  Agreement and (ii) seven hundred and fifty (750) AETRU Systems per year thereafter for so long as this Agreement remains in effect (the  ""Minimum Order""). In the event that Zanotti fails to secure purchases









  amounting to the Minimum Order for any particular period, the exclusive supplier rights granted pursuant to this Article 2 shall become non- exclusive commencing immediately following such period in which the Minimum Order was not achieved and Aura shall have full discretion to  purchase or otherwise obtain Product from sources other than Zanotti. Notwithstanding Section 7.1 above, this Agreement may be terminated upon the occurrence of any of the following events:<omitted>(b) By Aura, in writing in the event that Zanotti fails to meet the minimum purchase requirements as described in Article 3 above,  provided, however, that such default has not been remedied by Zanotti within sixty (60) days after receipt of written notice thereof  from Aura;",Minimum Commitment,Yes
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,"Adaptimmune agrees to commit funding in an amount of at least nineteen million six hundred and forty four thousand Dollars US ($19,644,000) for the performance of the Studies as set out in Exhibit I during the term (""Alliance Funding"").",Minimum Commitment,Yes
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","LBIO agrees to commit funding in an amount not to exceed $14,211,864.00 for the performance of the Studies during the Term (collectively, ""Initial Funding""), with the Initial Funding specifically allocated as follows: (a) $[* * *] for an upfront payment, and a minimum of $[* * *] for enrollment and treatment of a minimum of 40 patients in the Study described in Exhibit I (i.e., the Minimum Enrollment Target as defined in Exhibit 1) or up to $[* * *] (an ""Individual Study Budget"") for enrollment and treatment of up to 60 patients in the Study described in Exhibit I (i.e., the Maximum Enrollment Target as defined in Exhibit 1); (b) $[* * *] (which shall also be considered an Individual Study Budget) for enrollment, manufacturing of product, and treatment of 30 patients in the Study described in Exhibit II; and (c) $[* * *] for the Study described in Exhibit III. With respect to Exhibit 1, the Individual Study Budget shall be the one associated with the Minimum Enrollment Target (as defined in Exhibit 1), and in the event that the Parties move to the Maximum Enrollment Target (as defined in Exhibit 1) then this table shall be applied to the incremental additional patients as if the incremental additional patients constitute their own protocol/budget.",Minimum Commitment,Yes
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,"In the event generic equivalents has captured the [ * ] of the quantity of Lead Compound sold by Astellas during the [ * ] preceding such termination calculated on a annual basis; or in the event, after the entry into the market of generic equivalents, that Astellas' annual sales fall below $[ * ] for all Lead Compounds, Astellas may terminate this Agreement upon [ * ] written notice to FG; provided, that Astellas does not Commercialize any Lead Compound after such termination until the expiration of the last to expire FG Patents applicable to such Lead Compound.",Minimum Commitment,Yes
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,"For two (2) years following the Effective Time, QIWI covenants that at least one half of the total transactions processed by the Contact money transfer system during such two-year period shall be settled through PJSC Khanty-Mansiysk Bank Otkritie, provided that QIWI may terminate its obligation under this Clause 4.1 at any time, in which case it shall pay to Otkritie a fee equal to the demonstrated costs incurred by Otkritie for such period starting from 1 September 2014, until the date of termination of QIWI's obligations under this Clause 4.1 in connection with (i) the transfer of settlement bank function to PJSC Khanty-Mansiysk Bank Otkritie ; and (ii) supporting the settlement bank functionality for the Contact money transfer system, provided further that such fee shall in no event exceed RUB 50 000 000 (fifty million roubles).",Minimum Commitment,Yes
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,"For purposes of this section, the Post-Well Study must show that the Existing CRA Well or Replacement CRA Well can produce CRA water at a minimum of 1,200 GPM or more or a combination of 1,200 GPM from one or more wells on the Property in order for STW to proceed with the obligations set forth in this section (""Critical Criterion""). The Post-Well Study shall provide information on the feasibility of developing a water well field in that location that would produce water from the CRA for: (a) the availability of a minimum 1,200 gallons per minute (""GPM"") per day CRA water production for STW, its successors or assignees, to sell to communities and users within a 500-mile radius outside of COFS (the ""Permitted Sale Water"") during the Term, with the further requirement that STW would be responsible for the pipelines and pumping facilities required to transport the Permitted Sale Water to the intended end-users; and that all such water obtained from the Existing CRA Well contains acceptable levels of Total Dissolved Solids (""TDS"") to meet municipal use standards. I",Minimum Commitment,Yes
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.PDF,"Section A.3 As a Full Service Master Distributor, Distributor agrees to sign up a minimum of 10 new WatchGuard resellers in the Territory within the Initial Term of the Agreement. During the Term, Distributor will make Gross      Purchases in an amount at least equal to the cumulative Guaranteed Minimum      Purchase amounts through committed orders placed pursuant to paragraph 3.5      and calling for shipment on or before the dates set forth in Exhibit A. Failure to Make Guaranteed Minimum Purchases. Upon any failure by      Distributor to make Gross Purchases in sufficient amounts to meet or exceed      the applicable cumulative Guaranteed Minimum Purchases, WGT may, at its      sole option and effective upon notice to Distributor, terminate this      Agreement. Distributor shall pay WGT fifty percent (50%) of the unpaid      balance of cumulative Guaranteed Minimum Purchase amounts as liquidated      damages.",Minimum Commitment,Yes
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.PDF,"Developer may cancel this Agreement if the total gross annual software revenue does not meet DeVeloper's revenue forecast for the Distributor, such cancellation to be eftected by written notice delivered to Distributor not later than 30 days after any Developer's Fiscal Year end (June 30).",Minimum Commitment,Yes
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.PDF",ENVISION will provide SIERRA with demand projections          for the  Product and SIERRA will  produce  enough  Product to meet such          demand projections.,Minimum Commitment,Yes
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.PDF,"The Distributor agrees to purchase from Lucid minimum agreed quantity of product in the first, second and third years of the Agreement, excluding  demonstration product. The Distributor will employ as a minimum one full-time Lucid dedicated Product Manager sales professional, giving one hundred per cent of  their time to the promotion and sale of Lucid products.",Minimum Commitment,Yes
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF,"A minimum of a $250,000.00  purchase  order  must be  received  by Company by the first of each month for a total (12) month  period. In                            order  to  maintain  the  exclusive  rights  to sell,                            lease, distribute and service Products in the Market,                            the Distributor must use all commercially  reasonably                            efforts to purchase for sale to  subdistributors  the                            following minimum quantities of the Products from the                            Company:

         On the  commencement of the Term  Distributor will issue to the Company an  irrevocable  letter of credit (""LC"") in the amount of Five Hundred  Thousand Dollars  ($500,000),  the form of which is  attached  hereto  as  Exhibit  A and incorporated  herein by reference. Company's representatives will                            make themselves available three days per month in the                            first   Product   Year  to  consult  with  and  train                            Distributor. If the  Distributor  shall fail to purchase the minimum number of units in any year, the  Distributor's  exclusive rights to sell and distribute the Product in the Market,  may at Company's sole option, be reevaluated. (A)    375 units in the first Product Year (1999)

                  (B)    750 units in the next succeeding Product Year; (2000)

                  (C)    937 units in the next succeeding Product Year; (2001)

                  (D)    1,171 units in the next succeeding Product Year; (2002)

                  (E)    1,463 units in the next succeeding Product Year; (2003)

                  (F)    1,828 units in the next succeeding Product Year; (2004)

                  (G)    2,285 units in the next succeeding Product Year; (2005)

                  (H)    2,856  unit each in the lat  three  years of                          the initial Term of this  Agreement  and any                          renewals thereof.",Minimum Commitment,Yes
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.PDF,"NTC will provide training to ALFA AESAR's personnel on ALFA AESAR's premises as reasonably necessary, but no less than once annually, at mutually agreed upon times and dates to provide ALFA AESAR's sales and service personnel with adequate knowledge with respect to the Products.",Minimum Commitment,Yes
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.PDF","COMWARE must purchase no less than $22,710.00 worth of Products, in any        combination,  by April 15, 2000. COMWARE must purchase order a minimum      of $4,200 worth of Products per month during the Renewal Period TO maintain      the terms and conditions of this  Agreement. In the event COMWARE does not      meet these minimum purchase requirements, this Agreement will automatically      and  immediately  terminate and neither of the parties hereto will have any      further obligations, one to the other. In the event COMWARE  purchases an amount less than      $45,420.00, than this Agreement will automatically terminate.",Minimum Commitment,Yes
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.PDF,"In the event Shipper's inventory balance drops below its pro rata part of the volume of Crude Petroleum necessary for pipeline fill, unavailable stocks below tank connections, and reasonable additional minimum quantities required for the efficient operation of the system, then Transporter will require Shipper to provide the necessary volume to meet its pro rata part of such volume of Crude Petroleum.",Minimum Commitment,Yes
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games). ""MANDATORY PRODUCTS"" shall mean the following ADAMS GOLF PRODUCTS  that CONSULTANT must exclusively play/use in all Champions/Senior Professional Golf Association (SPGA) and Professional Golf Association (PGA) events at all times:

[***** ]  Confidential Material redacted and filed separately with the Commission.   2





  1.[*****] 2.Sufficient [*****] to maintain total minimum of [*****] ADAMS GOLF  [*****] (includes [*****])[*****] at all times If for any reason, CONSULTANT should achieve a satisfactory record of play in less than [*****] SPGA and/or PGA tour events in a calendar year, he shall repay ADAMS GOLF an amount per event for each event under [*****] achieved in the given calendar year as follows:

The agreed upon repayment amount per event per calendar year:

1.  Year 1. $[*****] 2.  Year 2 $[*****] 3.  Year 3 $[*****] 4.  Year 4 $[*****] 5.  Year 5 $[*****]",Minimum Commitment,Yes
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.PDF,"No part of the minimum royalty for the first License Year shall in any event be repayable to Diplomat. Diplomat agrees to pay KI, Inc. the minimum royalties set forth below as a minimum guarantee against royalties to be paid to KI, Inc. under subparagraph 3.(a), above:

                  (1) 1st License Year (8/1/95 - 1/30/97):     $                   (2) 2nd License Year (2/1/97 - 1/30/98):     $                   (3) 3rd License Year (2/1/98 - 1/30/99):     $                   (4) 4th License Year (2/1/99 - 1/30/2000):   $ The minimum royalty for the 1st License Year shall be paid as follows: $ upon the signing of the Deal Memo dated August 24, 1995, the balance of $ to be paid in six (6) equal, consecutive, monthly installments of $ commencing with the month in which this Agreement is signed.",Minimum Commitment,Yes
